"Component","Feeder","Nozzle","Speed","Height"
"ABM8G 12MHz","L19","1/2","100","0.5"
"LED0603 LED","L6","1/2","100","0.5"
"QFN36 STM32F103TB","I1","1/2","100","0.5"
"SOT23-5 LP2985-33DBVR","L15","1/2","100","0.5"
"SOT363 NUF2221W1","L16","1/2","100","0.5"
"WSON8 SST25VF032B","L20","1/2","100","0.5"
"c_0402 0.01uF","L1","1/2","100","0.5"
"c_0402 0.1uF","L2","1/2","100","0.5"
"c_0402 27pF","L3","1/2","100","0.5"
"c_0603 4.7uF","L4","1/2","100","0.5"
"r_0402 510","L5","1/2","100","0.5"
